# x1	x2
-11	9
-10.956	8.936
-10.9121	8.87226
-10.8683	8.80877
-10.8245	8.74553
-10.7809	8.68255
-10.7373	8.61982
-10.6938	8.55734
-10.6505	8.49511
-10.6072	8.43313
-10.5639	8.3714
-10.5208	8.30991
-10.4778	8.24867
-10.4348	8.18768
-10.3919	8.12693
-10.3492	8.06642
-10.3065	8.00615
-10.2638	7.94613
-10.2213	7.88634
-10.1789	7.8268
-10.1365	7.76749
-10.0942	7.70842
-10.0521	7.64959
-10.01	7.59099
-9.96794	7.53263
-9.926	7.4745
-9.88415	7.4166
-9.84238	7.35893
-9.80069	7.3015
-9.75909	7.24429
-9.71757	7.18731
-9.67614	7.13056
-9.63479	7.07404
-9.59352	7.01774
-9.55233	6.96167
-9.51123	6.90583
-9.4702	6.8502
-9.42926	6.7948
-9.3884	6.73962
-9.34763	6.68467
-9.30693	6.62993
-9.26632	6.57541
-9.22579	6.52111
-9.18533	6.46702
-9.14496	6.41315
-9.10467	6.3595
-9.06446	6.30606
-9.02434	6.25284
-8.98429	6.19983
-8.94432	6.14703
-8.90443	6.09444
-8.86462	6.04206
-8.82489	5.98989
-8.78524	5.93793
-8.74567	5.88618
-8.70618	5.83464
-8.66677	5.7833
-8.62743	5.73217
-8.58818	5.68124
-8.549	5.63051
-8.50991	5.57999
-8.47089	5.52967
-8.43194	5.47955
-8.39308	5.42963
-8.35429	5.37991
-8.31558	5.33039
-8.27695	5.28107
-8.2384	5.23195
-8.19992	5.18302
-8.16152	5.13429
-8.1232	5.08575
-8.08495	5.03741
-8.04678	4.98926
-8.00869	4.9413
-7.97067	4.89354
-7.93273	4.84596
-7.89487	4.79858
-7.85708	4.75138
-7.81936	4.70438
-7.78172	4.65756
-7.74416	4.61093
-7.70667	4.56449
-7.66926	4.51823
-7.63192	4.47216
-7.59466	4.42627
-7.55747	4.38056
-7.52035	4.33504
-7.48331	4.2897
-7.44634	4.24454
-7.40945	4.19956
-7.37263	4.15477
-7.33589	4.11015
-7.29922	4.06571
-7.26262	4.02144
-7.22609	3.97736
-7.18964	3.93345
-7.15326	3.88971
-7.11695	3.84616
-7.08072	3.80277
-7.04456	3.75956
-7.00847	3.71652
-6.97245	3.67366
-6.93651	3.63096
-6.90063	3.58844
-6.86483	3.54608
-6.8291	3.5039
-6.79345	3.46188
-6.75786	3.42004
-6.72234	3.37836
-6.6869	3.33684
-6.65152	3.29549
-6.61622	3.25431
-6.58099	3.2133
-6.54583	3.17244
-6.51074	3.13175
-6.47571	3.09123
-6.44076	3.05086
-6.40588	3.01066
-6.37107	2.97061
-6.33633	2.93073
-6.30165	2.89101
